Year,Month,Division,Lat,Log,Crime Type,Reported Number,Notes
2011,1,Karachi,24.8605,67.0261,Murder,23,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8605,67.0261,Murder in the form of target killing,3,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8605,67.0261,Murder during dacoity/robbery,2,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8605,67.0261,Highway dacoity/robbery,0,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8605,67.0261,Bank dacoity/robbery,0,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8605,67.0261,Car snatching,11,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8844,67.1443,Murder,42,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8844,67.1443,Murder in the form of target killing,2,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8844,67.1443,Murder during dacoity/robbery,2,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8844,67.1443,Highway dacoity/robbery,8,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8844,67.1443,Bank dacoity/robbery,1,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8844,67.1443,Car snatching,38,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8829,66.9748,Murder,40,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8829,66.9748,Murder in the form of target killing,4,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8829,66.9748,Murder during dacoity/robbery,1,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8829,66.9748,Highway dacoity/robbery,0,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8829,66.9748,Bank dacoity/robbery,1,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,1,Karachi,24.8829,66.9748,Car snatching,15,"File for 1 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,2,Karachi,24.8605,67.0261,Murder,18,
2011,2,Karachi,24.8605,67.0261,Murder in the form of target killing,0,
2011,2,Karachi,24.8605,67.0261,Murder during dacoity/robbery,4,
2011,2,Karachi,24.8605,67.0261,Highway dacoity/robbery,0,
2011,2,Karachi,24.8605,67.0261,Bank dacoity/robbery,0,
2011,2,Karachi,24.8605,67.0261,Car snatching,3,
2011,2,Karachi,24.8844,67.1443,Murder,48,
2011,2,Karachi,24.8844,67.1443,Murder in the form of target killing,2,
2011,2,Karachi,24.8844,67.1443,Murder during dacoity/robbery,4,
2011,2,Karachi,24.8844,67.1443,Highway dacoity/robbery,9,
2011,2,Karachi,24.8844,67.1443,Bank dacoity/robbery,0,
2011,2,Karachi,24.8844,67.1443,Car snatching,30,
2011,2,Karachi,24.8829,66.9748,Murder,29,
2011,2,Karachi,24.8829,66.9748,Murder in the form of target killing,0,
2011,2,Karachi,24.8829,66.9748,Murder during dacoity/robbery,3,
2011,2,Karachi,24.8829,66.9748,Highway dacoity/robbery,0,
2011,2,Karachi,24.8829,66.9748,Bank dacoity/robbery,0,
2011,2,Karachi,24.8829,66.9748,Car snatching,20,
2011,3,Karachi,24.8605,67.0261,Murder,18,
2011,3,Karachi,24.8605,67.0261,Murder in the form of target killing,0,
2011,3,Karachi,24.8605,67.0261,Murder during dacoity/robbery,4,
2011,3,Karachi,24.8605,67.0261,Highway dacoity/robbery,0,
2011,3,Karachi,24.8605,67.0261,Bank dacoity/robbery,0,
2011,3,Karachi,24.8605,67.0261,Car snatching,3,
2011,3,Karachi,24.8844,67.1443,Murder,48,
2011,3,Karachi,24.8844,67.1443,Murder in the form of target killing,2,
2011,3,Karachi,24.8844,67.1443,Murder during dacoity/robbery,4,
2011,3,Karachi,24.8844,67.1443,Highway dacoity/robbery,9,
2011,3,Karachi,24.8844,67.1443,Bank dacoity/robbery,0,
2011,3,Karachi,24.8844,67.1443,Car snatching,30,
2011,3,Karachi,24.8829,66.9748,Murder,29,
2011,3,Karachi,24.8829,66.9748,Murder in the form of target killing,0,
2011,3,Karachi,24.8829,66.9748,Murder during dacoity/robbery,3,
2011,3,Karachi,24.8829,66.9748,Highway dacoity/robbery,0,
2011,3,Karachi,24.8829,66.9748,Bank dacoity/robbery,0,
2011,3,Karachi,24.8829,66.9748,Car snatching,20,
2011,4,Karachi,24.8605,67.0261,Murder,32,
2011,4,Karachi,24.8605,67.0261,Murder in the form of target killing,4,
2011,4,Karachi,24.8605,67.0261,Murder during dacoity/robbery,4,
2011,4,Karachi,24.8605,67.0261,Highway dacoity/robbery,0,
2011,4,Karachi,24.8605,67.0261,Bank dacoity/robbery,1,
2011,4,Karachi,24.8605,67.0261,Car snatching,8,
2011,4,Karachi,24.8844,67.1443,Murder,60,
2011,4,Karachi,24.8844,67.1443,Murder in the form of target killing,5,
2011,4,Karachi,24.8844,67.1443,Murder during dacoity/robbery,2,
2011,4,Karachi,24.8844,67.1443,Highway dacoity/robbery,3,
2011,4,Karachi,24.8844,67.1443,Bank dacoity/robbery,1,
2011,4,Karachi,24.8844,67.1443,Car snatching,22,
2011,4,Karachi,24.8829,66.9748,Murder,36,
2011,4,Karachi,24.8829,66.9748,Murder in the form of target killing,2,
2011,4,Karachi,24.8829,66.9748,Murder during dacoity/robbery,1,
2011,4,Karachi,24.8829,66.9748,Highway dacoity/robbery,0,
2011,4,Karachi,24.8829,66.9748,Bank dacoity/robbery,0,
2011,4,Karachi,24.8829,66.9748,Car snatching,14,
2011,5,Karachi,24.8605,67.0261,Murder,35,
2011,5,Karachi,24.8605,67.0261,Murder in the form of target killing,2,
2011,5,Karachi,24.8605,67.0261,Murder during dacoity/robbery,1,
2011,5,Karachi,24.8605,67.0261,Highway dacoity/robbery,0,
2011,5,Karachi,24.8605,67.0261,Bank dacoity/robbery,0,
2011,5,Karachi,24.8605,67.0261,Car snatching,4,
2011,5,Karachi,24.8844,67.1443,Murder,43,
2011,5,Karachi,24.8844,67.1443,Murder in the form of target killing,1,
2011,5,Karachi,24.8844,67.1443,Murder during dacoity/robbery,2,
2011,5,Karachi,24.8844,67.1443,Highway dacoity/robbery,1,
2011,5,Karachi,24.8844,67.1443,Bank dacoity/robbery,0,
2011,5,Karachi,24.8844,67.1443,Car snatching,46,
2011,5,Karachi,24.8829,66.9748,Murder,44,
