Year,Month,Division,District,Crime Type,Reported Number,Division_legends,District_legends,,
2011,1,2,South Zone,Murder,23,"(Hyderabad =1, Karachi=2 ,Larkana= 3, Mirpurkhas =4, S.B Abad=5, Sukkur=6)","(Hyderabad=1.1, Badin =1.2,Larkana=3.1, Mirpurkhas =4.1, S.B Abad=5.1, Sukkur= 6.1)",,
2011,1,2,South Zone,Murder in the form of target killing,3,,,,
2011,1,2,South Zone,Murder during dacoity/robbery,2,,,,
2011,1,2,South Zone,Highway dacoity/robbery,0,,,,
2011,1,2,South Zone,Bank dacoity/robbery,0,,,,
2011,1,2,South Zone,Car snatching,11,,,,
2011,1,2,East Zone,Murder,42,,,,
2011,1,2,East Zone,Murder in the form of target killing,2,,,,
2011,1,2,East Zone,Murder during dacoity/robbery,2,,,,
2011,1,2,East Zone,Highway dacoity/robbery,8,,,,
2011,1,2,East Zone,Bank dacoity/robbery,1,,,,
2011,1,2,East Zone,Car snatching,38,,,,
2011,1,2,West Zone,Murder,40,,,,
2011,1,2,West Zone,Murder in the form of target killing,4,,,,
2011,1,2,West Zone,Murder during dacoity/robbery,1,,,,
2011,1,2,West Zone,Highway dacoity/robbery,0,,,,
2011,1,2,West Zone,Bank dacoity/robbery,1,,,,
2011,1,2,West Zone,Car snatching,15,,,,
2011,1,1,1.1,Murder,5,,,,
2011,1,1,1.1,Murder in the form of target killing,1,,,,
2011,1,1,1.1,Murder during dacoity/robbery,1,,,,
2011,1,1,1.1,Highway dacoity/robbery,0,,,,
2011,1,1,1.1,Bank dacoity/robbery,0,,,,
2011,1,1,1.1,Car snatching,3,,,,
2011,1,1,Matyari,Murder,2,,,,
2011,1,1,Matyari,Murder in the form of target killing,0,,,,
2011,1,1,Matyari,Murder during dacoity/robbery,0,,,,
2011,1,1,Matyari,Highway dacoity/robbery,0,,,,
2011,1,1,Matyari,Bank dacoity/robbery,0,,,,
2011,1,1,Matyari,Car snatching,0,,,,
2011,1,1,T.A Yar,Murder,2,,,,
2011,1,1,T.A Yar,Murder in the form of target killing,0,,,,
2011,1,1,T.A Yar,Murder during dacoity/robbery,0,,,,
2011,1,1,T.A Yar,Highway dacoity/robbery,0,,,,
2011,1,1,T.A Yar,Bank dacoity/robbery,0,,,,
2011,1,1,T.A Yar,Car snatching,0,,,,
2011,1,1,T.M Khan,Murder,1,,,,
2011,1,1,T.M Khan,Murder in the form of target killing,0,,,,
2011,1,1,T.M Khan,Murder during dacoity/robbery,0,,,,
2011,1,1,T.M Khan,Highway dacoity/robbery,0,,,,
2011,1,1,T.M Khan,Bank dacoity/robbery,0,,,,
2011,1,1,T.M Khan,Car snatching,0,,,,
2011,1,1,Jamshoro,Murder,3,,,,
2011,1,1,Jamshoro,Murder in the form of target killing,0,,,,
2011,1,1,Jamshoro,Murder during dacoity/robbery,2,,,,
2011,1,1,Jamshoro,Highway dacoity/robbery,2,,,,
2011,1,1,Jamshoro,Bank dacoity/robbery,0,,,,
2011,1,1,Jamshoro,Car snatching,0,,,,
2011,1,1,Dadu,Murder,7,,,,
2011,1,1,Dadu,Murder in the form of target killing,0,,,,
2011,1,1,Dadu,Murder during dacoity/robbery,0,,,,
2011,1,1,Dadu,Highway dacoity/robbery,2,,,,
2011,1,1,Dadu,Bank dacoity/robbery,0,,,,
2011,1,1,Dadu,Car snatching,1,,,,
2011,1,1,Thatta,Murder,5,,,,
2011,1,1,Thatta,Murder in the form of target killing,0,,,,
2011,1,1,Thatta,Murder during dacoity/robbery,0,,,,
2011,1,1,Thatta,Highway dacoity/robbery,0,,,,
2011,1,1,Thatta,Bank dacoity/robbery,0,,,,
2011,1,1,Thatta,Car snatching,0,,,,
2011,1,1,1.2,Murder,6,,,,
2011,1,1,1.2,Murder in the form of target killing,0,,,,
2011,1,1,1.2,Murder during dacoity/robbery,0,,,,
2011,1,1,1.2,Highway dacoity/robbery,0,,,,
2011,1,1,1.2,Bank dacoity/robbery,0,,,,
2011,1,1,1.2,Car snatching,0,,,,
2011,1,1,S.B Abad,Murder,7,,,,
2011,1,1,S.B Abad,Murder in the form of target killing,0,,,,
2011,1,1,S.B Abad,Murder during dacoity/robbery,1,,,,
2011,1,1,S.B Abad,Highway dacoity/robbery,0,,,,
2011,1,1,S.B Abad,Bank dacoity/robbery,0,,,,
2011,1,1,S.B Abad,Car snatching,1,,,,
